_id,PrimaryKey,DateAddedtoDataRelease,ProcuringAgencyOrganisation,ProjectName,ProjectShortDescription,ParentProjectID,ProjectStatus,ProcurementMethod,ProjectRegion,ProjectSector,EstimatedProjectValueRange,EstimatedQuarterBusinessCaseStart,EstimatedQuarterBusinessCaseCompletion,EstimatedQuarterProcurementStart,EstimatedQuarterProcurementCompletion,EstimatedQuarterConstructionStart,EstimatedQuarterConstructionCompletion,EstimatedQuarterProjectRangeStart,EstimatedQuarterProjectRangeCompletion,ProjectInfoURL,EstimatedProjectValueNote
11,IP000173,2019-11-07T00:00:00,Department of Corrections,Department of Corrections Head Office Refurbishment,This project is the refurbishment of Mayfair House. Mayfair House is the location of the Department of Corrections Head Office.,"",In Procurement,Design and construct,Wellington,Justice,25 - 50 Million,"","","","","","",2019-Q1,2021-Q3,https://www.corrections.govt.nz/,""
12,IP000174,2019-11-07T00:00:00,Department of Corrections,Whanganui Prison Water Systems Upgrade,This project will upgrade storm and wastewater systems at Whanganui Prison.,"",Under Construction,Other,Manawatu - Whanganui,Water,5 - 25 Million,"","","","","","",2018-Q4,2020-Q4,https://www.corrections.govt.nz/,""
13,IP000176,2019-11-07T00:00:00,KiwiRail,Auckland Metro Rail Network Programme,This project includes upgrades to capacity and resilience of the Auckland Metro Network including: Wiri to Quay Park; Papakura to Pukekohe electrification; new substation; Auckland Train Control Centre and accelerated renewals which are subject to funding.,"",Business Case / Investment Case Development,To be determined,Auckland,Transport,500 Million +,"","","","","","",2020-Q1,2024-Q2,https://www.kiwirail.co.nz/what-we-do/projects/,""
14,IP000177,2019-11-07T00:00:00,KiwiRail,Interisland Ferry Replacement Project - Wellington and Picton,This project will replace the existing Interislander ferry fleet and associated terminal infrastructure with new fit-for-purpose rail-enabled ships and terminals. Note that funding has been approved to procurement stage only; KiwiRail are in the process of preparing a detailed business case.,"",Business Case / Investment Case Development,Other,Wellington,Transport,500 Million +,"","","","","","",2018-Q3,2024-Q4,https://www.kiwirail.co.nz/what-we-do/projects/,""
15,IP000178,2019-11-07T00:00:00,KiwiRail,Main North Line Reinstatement Project - Christchurch to Picton,This project will reinstate the Main North Line railway between Christchurch and Picton following damage suffered as a result of the Kaikoura earthquake.,"",Under Construction,Alliance,Canterbury,Transport,500 Million +,"","","","","","",2016-Q4,2020-Q4,https://www.kiwirail.co.nz/what-we-do/projects/main-north-line/,""
16,IP000179,2019-11-07T00:00:00,KiwiRail,North Auckland Line - Northland,This project is to invest in essential repairs and maintenance including track; tunnels; bridges; drainage; culverts and embankments on the North Auckland Line.,"",In Procurement,To be determined,Northland,Transport,50 - 100 Million,"","","","","","",2019-Q3,2020-Q3,https://www.kiwirail.co.nz/what-we-do/projects/northland-rail-rejuvenation/,""
17,IP000180,2019-11-07T00:00:00,KiwiRail,Rolling Stock Procurement Project - Stage 1,This project will replace KiwiRail's end of life locomotive and wagon fleets with new assets and upgrade mechanical depots. The project range indicated is for the first stage relating to the $375 million approved in Budget 2019.,"",In Procurement,Other,All of New Zealand,Transport,250 - 500 Million,"","","","","","",2019-Q3,2021-Q2,https://www.kiwirail.co.nz/what-we-do/projects/,""
18,IP000181,2019-11-07T00:00:00,KiwiRail,Wellington Metro Rail Network Programme - Stage 2,This project is the renewal and upgrade of power supply (including new traction poles and overhead wires). This is Stage 2 of the Wellington Metro Rail Network Programme.,"",Under Construction,Other,Wellington,Transport,50 - 100 Million,"","","","","","",2017-Q3,2021-Q2,https://www.kiwirail.co.nz/what-we-do/projects/wellington/,""
19,IP000182,2019-11-07T00:00:00,KiwiRail,Wellington Metro Rail Network Programme - Stage 3,This project includes track and civil infrastructure catch up renewals for the Wellington Metro Rail Network. This is Stage 3 of the Wellington Metro Rail Network Programme.,"",In Procurement,Other,Wellington,Transport,50 - 100 Million,"","","","","","",2018-Q3,2024-Q2,https://www.kiwirail.co.nz/what-we-do/projects/wellington/,""
20,IP000183,2019-11-07T00:00:00,KiwiRail,Wellington Metro Rail Network Programme - Stage 4,"This project delivers network capacity improvements to allow the introduction of a more intensive commuter train timetable from 2022. This includes double tracking, upgrades at Plimmerton station and Wellington and strengthened train power supply. This is Stage 4 of the Wellington Metro Rail Network Programme.","",In Procurement,Other,Wellington,Transport,50 - 100 Million,"","","","","","",2018-Q3,2022-Q2,https://www.kiwirail.co.nz/what-we-do/projects/wellington/,""
21,IP000184,2019-11-07T00:00:00,Manawatu District Council,Feilding Council Building Upgrade,The purpose of this project is to strengthen and modernise the existing Feilding council building.,"",Business Case / Investment Case Development,Design and construct,Manawatu - Whanganui,Other - Not Specified,< 5 Million,"","","","","","",2018-Q4,2021-Q2,https://www.mdc.govt.nz/Documents/Plans,""
22,IP000185,2019-11-07T00:00:00,Manawatu District Council,Feilding Enabling Growth Infrastructure Project,The purpose of this project is to develop the required lead infrastructure in Feilding to support and enable residential and industrial growth.,"",In Procurement,Construct only,Manawatu - Whanganui,Transport,5 - 25 Million,"","","","","","",2017-Q3,2028-Q2,https://www.mdc.govt.nz/Documents/Plans,""
23,IP000186,2019-11-07T00:00:00,Manawatu District Council,Feilding Library Redevelopment,The project is the redevelopment and upgrade of the existing Feilding Public Library.,"",Business Case / Investment Case Development,Design and construct,Manawatu - Whanganui,Other - Not Specified,5 - 25 Million,"","","","","","",2017-Q4,2021-Q1,https://www.mdc.govt.nz/Documents/Plans,""
24,IP000187,2019-11-07T00:00:00,Manawatu District Council,Feilding Little Theatre Upgrade,This project will deliver the works required for strengthening and modernising the existing Little Theatre in Feilding.,"",Business Case / Investment Case Development,Other,Manawatu - Whanganui,Other - Not Specified,< 5 Million,"","","","","","",2019-Q1,2020-Q4,https://www.mdc.govt.nz/Documents/Plans,""
25,IP000188,2019-11-07T00:00:00,Manawatu District Council,Feilding Solid Waste and Recycling Recovery Centre,This project includes the construction of a new Council owned Resource Recovery Centre in Feilding.,"",Under Construction,Design and construct,Manawatu - Whanganui,Other - Not Specified,< 5 Million,2017-Q3,2018-Q3,2019-Q2,2019-Q2,2019-Q3,2020-Q2,"","",https://www.mdc.govt.nz/Documents/Plans,""
26,IP000189,2019-11-07T00:00:00,Manawatu District Council,Feilding Wastewater Centralisation Project,The purpose of this project is to centralise all wastewater treatment plants within Feilding by developing a new network of integrated pipelines and pump stations.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Water,5 - 25 Million,"","","","","","",2017-Q3,2023-Q2,https://www.mdc.govt.nz/Documents/Plans,""
27,IP000190,2019-11-07T00:00:00,Manawatu District Council,Feilding Water Supply Bore Supply,The purpose of this project is to renew the aging surface water supply in Feilding via the construction of a new bore and storage reservoir.,"",In Procurement,Construct only,Manawatu - Whanganui,Water,< 5 Million,2017-Q3,2018-Q3,2019-Q3,2019-Q4,2020-Q1,2020-Q4,"","",https://www.mdc.govt.nz/Documents/Plans,""
28,IP000191,2019-11-07T00:00:00,Manawatu District Council,Feilding Water Supply Reservoir,The purpose of this project is to renew the aging surface water supply in Feilding with the construction of a new bore and storage reservoir.,"",Under Construction,Design and construct,Manawatu - Whanganui,Water,< 5 Million,2017-Q3,2018-Q3,2019-Q1,2019-Q2,2019-Q2,2020-Q1,"","",https://www.mdc.govt.nz/Documents/Plans,""
29,IP000192,2019-11-07T00:00:00,Manawatu District Council,Feilding Water Supply Treatment Upgrades,The purpose of this project is to renew the aging surface water supply in Feilding via the construction of a new bore and storage reservoir.,"",Business Case / Investment Case Development,Design and construct,Manawatu - Whanganui,Water,< 5 Million,"","","","","","",2017-Q3,2020-Q4,https://www.mdc.govt.nz/Documents/Plans,""
30,IP000193,2019-11-07T00:00:00,Manawatu District Council,Manawatu District Stormwater Upgrades,The purpose of this project is to upgrade the existing stormwater systems across the district with a primary focus on the upgrade of existing infrastructure within urban areas.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Water,5 - 25 Million,"","","","","","",2017-Q3,2028-Q2,https://www.mdc.govt.nz/Documents/Plans,""
31,IP000194,2019-11-07T00:00:00,Manawatu District Council,Manawatu District Wastewater Renewals,The purpose of this project is to renew the existing wastewater infrastructure within the Manawatu District.,"",Business Case / Investment Case Development,Construct only,Manawatu - Whanganui,Water,5 - 25 Million,"","","","","","",2017-Q3,2028-Q2,https://www.mdc.govt.nz/Documents/Plans,""
32,IP000195,2019-11-07T00:00:00,Manawatu District Council,Manawatu Road Maintenance Programme,This programme includes the maintenance and renewal of the roading network in the Manawatu District.,"",Under Construction,Construct only,Manawatu - Whanganui,Transport,100 - 250 Million,2017-Q3,2018-Q3,2019-Q3,2019-Q3,2019-Q3,2028-Q2,"","",https://www.mdc.govt.nz/Documents/Plans,""
33,IP000196,2019-11-07T00:00:00,Manawatu District Council,Mangaweka Bridge Renewal Project,This project is to renew the existing Mangaweka Bridge.,"",In Procurement,Design and construct,Manawatu - Whanganui,Transport,5 - 25 Million,2017-Q3,2018-Q3,2019-Q3,2019-Q3,2019-Q4,2020-Q4,"","",https://www.mdc.govt.nz/Documents/Plans,""
34,IP000197,2019-11-07T00:00:00,Manawatu District Council,Rata Street Walkway Project,The purpose of this project is to develop a new walkway along the Makino Stream linking Kowhai Park to Awahuri Forest and Kitchener Park.,"",Under Construction,Design and construct,Manawatu - Whanganui,Transport,< 5 Million,2017-Q4,2018-Q1,2019-Q1,2019-Q1,2019-Q2,2020-Q2,"","",https://www.mdc.govt.nz/Documents/Plans,""
35,IP000198,2019-11-07T00:00:00,MidCentral District Health Board,MidCentral District Health Board Cardiac Laboratory Development,This project requires the reconfiguration of existing non-medical space for a new Catheterization Laboratory at Palmerston North Hospital.,"",Business Case / Investment Case Development,To be determined,Manawatu - Whanganui,Health,< 5 Million,2019-Q3,2020-Q1,2020-Q1,2020-Q2,2020-Q4,2021-Q1,"","",http://www.midcentraldhb.govt.nz/Pages/Home.aspx,""
36,IP000199,2019-11-07T00:00:00,MidCentral District Health Board,MidCentral District Health Board Gastroenterology Procedure Rooms Development,This project requires reconfiguring the existing hospital footprint and adjoining spaces to enable the development of new Gastroenterology and Procedure rooms and associated support spaces at Palmerston North Hospital.,"",Business Case / Investment Case Development,To be determined,Manawatu - Whanganui,Health,< 5 Million,2019-Q3,2020-Q1,2020-Q1,2020-Q2,2020-Q2,2020-Q3,"","",http://www.midcentraldhb.govt.nz/Pages/Home.aspx,""
37,IP000200,2019-11-07T00:00:00,MidCentral District Health Board,MidCentral District Health Board Operating Theatre Development,This project requires the reconfiguration of the existing operating theatre footprint. It also includes the relocation of current ancillary services to enable the development of an Eighth Theatre at the Palmerston North Hospital.,"",Business Case / Investment Case Development,To be determined,Manawatu - Whanganui,Health,< 5 Million,2019-Q3,2020-Q1,2020-Q1,2020-Q2,2020-Q3,2020-Q4,"","",http://www.midcentraldhb.govt.nz/Pages/Home.aspx,""
38,IP000201,2019-11-07T00:00:00,Ministry for Primary Industries,Laboratory and Biocontainment Greenhouse New Build and Relocation - Tamaki,This project involves moving the Plant Health and Environment Laboratory facility currently in Tamaki in East Auckland. The project also includes building a new Plant Health and Environment Laboratory and Biocontainment Greenhouse.,"",Business Case / Investment Case Development,Design and construct,Auckland,Other - Not Specified,100 - 250 Million,"","","","","","",2020-Q3,2024-Q4,https://www.mpi.govt.nz/protection-and-response/laboratories/plant-health-and-environment-laboratory/our-work/,""
39,IP000067,2019-11-07T00:00:00,Ministry of Education,Beachlands School New Build,This project is a new build at Beachlands School.,"",In Procurement,Construct only,Auckland,Education,5 - 25 Million,"","","","","","",2020-Q3,2021-Q4,https://www.education.govt.nz/school/property/,""
40,IP000068,2019-11-07T00:00:00,Ministry of Education,Birkenhead School New Build,This project is a new build at Birkenhead School.,"",In Procurement,Construct only,Auckland,Education,< 5 Million,"","","","","","",2020-Q1,2022-Q1,https://www.education.govt.nz/school/property/,""
41,IP000069,2019-11-07T00:00:00,Ministry of Education,Campbells Bay School New Build,This project is a new build at Campbells Bay School.,"",In Procurement,Construct only,Auckland,Education,5 - 25 Million,"","","","","","",2020-Q2,2021-Q2,https://www.education.govt.nz/school/property/,""
42,IP000070,2019-11-07T00:00:00,Ministry of Education,Clendon Park School New Build,This project is a new build at Clendon Park School.,"",In Procurement,Construct only,Auckland,Education,< 5 Million,"","","","","","",2020-Q1,2021-Q4,https://www.education.govt.nz/school/property/,""
43,IP000071,2019-11-07T00:00:00,Ministry of Education,Dominion Road School New Build,This project is a new build at Dominion Road School.,"",Under Construction,Construct only,Auckland,Education,< 5 Million,"","","","","","",2019-Q2,2021-Q1,https://www.education.govt.nz/school/property/,""
44,IP000072,2019-11-07T00:00:00,Ministry of Education,Edgecumbe College Refurbishment,This project is a refurbishment at Edgecumbe College.,"",In Procurement,Construct only,Bay of Plenty,Education,5 - 25 Million,"","","","","","",2020-Q2,2022-Q4,https://www.education.govt.nz/school/property/,""
45,IP000073,2019-11-07T00:00:00,Ministry of Education,Flaxmere College Refurbishment,This project is a refurbishment at Flaxmere College.,"",Under Construction,Construct only,Hawke's Bay,Education,5 - 25 Million,"","","","","","",2019-Q3,2021-Q1,https://www.education.govt.nz/school/property/,""
46,IP000074,2019-11-07T00:00:00,Ministry of Education,Gisborne Girls' High School Redevelopment,This project is for the redevelopment of Gisborne Girls' High School.,"",Under Construction,Construct only,Gisborne,Education,< 5 Million,"","","","","","",2019-Q2,2020-Q2,https://www.education.govt.nz/school/property/,""
47,IP000075,2019-11-07T00:00:00,Ministry of Education,Glenfield Intermediate New Build,This project is a new build at Glenfield Intermediate.,"",Under Construction,Construct only,Auckland,Education,< 5 Million,"","","","","","",2019-Q2,2020-Q1,https://www.education.govt.nz/school/property/,""
48,IP000076,2019-11-07T00:00:00,Ministry of Education,Greenmeadows School New Build,This project is a new build at Greenmeadows School.,"",In Procurement,Construct only,Hawke's Bay,Education,5 - 25 Million,"","","","","","",2020-Q2,2021-Q4,https://www.education.govt.nz/school/property/,""
49,IP000077,2019-11-07T00:00:00,Ministry of Education,Kaikorai School Refurbishment,This project is a refurbishment at Kaikorai School.,"",In Procurement,Construct only,Otago,Education,5 - 25 Million,"","","","","","",2020-Q1,2021-Q3,https://www.education.govt.nz/school/property/,""
50,IP000078,2019-11-07T00:00:00,Ministry of Education,Kamo High School Refurbishment,This project is a refurbishment at Kamo High School.,"",In Procurement,Design and construct,Northland,Education,5 - 25 Million,"","","","","","",2020-Q3,2021-Q4,https://www.education.govt.nz/school/property/,""
51,IP000079,2019-11-07T00:00:00,Ministry of Education,Karamea Area School Refurbishment,This project is a refurbishment at Karamea Area School.,"",In Procurement,Construct only,West Coast,Education,5 - 25 Million,"","","","","","",2020-Q2,2021-Q2,https://www.education.govt.nz/school/property/,""
52,IP000080,2019-11-07T00:00:00,Ministry of Education,Kowhai Intermediate New Build,This project is a new build at Kowhai Intermediate School.,"",In Procurement,Design and construct,Auckland,Education,5 - 25 Million,"","","","","","",2020-Q2,2021-Q2,https://www.education.govt.nz/school/property/,""
53,IP000081,2019-11-07T00:00:00,Ministry of Education,Laingholm School New Build,This project is a new build at Laingholm School.,"",Under Construction,Construct only,Auckland,Education,< 5 Million,"","","","","","",2019-Q1,2020-Q2,https://www.education.govt.nz/school/property/,""
54,IP000082,2019-11-07T00:00:00,Ministry of Education,Lawrence Area School Refurbishment,This project is a refurbishment at Lawrence Area School.,"",In Procurement,Construct only,Otago,Education,5 - 25 Million,"","","","","","",2020-Q1,2021-Q1,https://www.education.govt.nz/school/property/,""
55,IP000083,2019-11-07T00:00:00,Ministry of Education,Long Bay College Refurbishment,This project is a refurbishment at Long Bay College.,"",Under Construction,Construct only,Auckland,Education,< 5 Million,"","","","","","",2019-Q1,2020-Q2,https://www.education.govt.nz/school/property/,""
56,IP000084,2019-11-07T00:00:00,Ministry of Education,Macleans College Refurbishment,This project is a refurbishment at Macleans College.,"",Under Construction,Construct only,Auckland,Education,5 - 25 Million,"","","","","","",2019-Q2,2021-Q1,https://www.education.govt.nz/school/property/,""
57,IP000085,2019-11-07T00:00:00,Ministry of Education,Maniototo Area School Refurbishment,This project is a refurbishment at Maniototo Area School.,"",In Procurement,Construct only,Otago,Education,5 - 25 Million,"","","","","","",2020-Q2,2021-Q3,https://www.education.govt.nz/school/property/,""
58,IP000086,2019-11-07T00:00:00,Ministry of Education,Manurewa Central School Refurbishment,This project is a refurbishment at Manurewa Central School.,"",Under Construction,Construct only,Auckland,Education,5 - 25 Million,"","","","","","",2019-Q3,2021-Q3,https://www.education.govt.nz/school/property/,""
59,IP000087,2019-11-07T00:00:00,Ministry of Education,Maraetai Beach School New Build,This project is a new build at Maraetai Beach School.,"",In Procurement,Construct only,Auckland,Education,5 - 25 Million,"","","","","","",2020-Q3,2021-Q3,https://www.education.govt.nz/school/property/,""
60,IP000088,2019-11-07T00:00:00,Ministry of Education,Meadowbank School New Build,This project is a new build at Meadowbank School.,"",Under Construction,Construct only,Auckland,Education,< 5 Million,"","","","","","",2019-Q1,2021-Q1,https://www.education.govt.nz/school/property/,""
61,IP000089,2019-11-07T00:00:00,Ministry of Education,Mt Aspiring School Refurbishment,This project is a refurbishment at Mt Aspiring School.,"",In Procurement,Construct only,Otago,Education,5 - 25 Million,"","","","","","",2020-Q1,2021-Q2,https://www.education.govt.nz/school/property/,""
62,IP000090,2019-11-07T00:00:00,Ministry of Education,Napier Boys' High School Refurbishment,This project is a refurbishment at Napier Boys' High School.,"",Under Construction,Construct only,Hawke's Bay,Education,5 - 25 Million,"","","","","","",2019-Q1,2021-Q3,https://www.education.govt.nz/school/property/,""
63,IP000091,2019-11-07T00:00:00,Ministry of Education,Ngaruawahia High School Refurbishment,This project is a refurbishment at Ngaruawahia High School.,"",In Procurement,Construct only,Waikato,Education,5 - 25 Million,"","","","","","",2020-Q3,2021-Q4,https://www.education.govt.nz/school/property/,""
64,IP000092,2019-11-07T00:00:00,Ministry of Education,Omokoroa Point School New Build,This project is a new build at Omokoroa Point School.,"",Under Construction,Construct only,Bay of Plenty,Education,< 5 Million,"","","","","","",2019-Q1,2020-Q1,https://www.education.govt.nz/school/property/,""
65,IP000093,2019-11-07T00:00:00,Ministry of Education,Onehunga High School Redevelopment,This project is for the redevelopment of Onehunga High School.,"",In Procurement,Construct only,Auckland,Education,25 - 50 Million,"","","","","","",2020-Q3,2021-Q4,https://www.education.govt.nz/school/property/,""
66,IP000094,2019-11-07T00:00:00,Ministry of Education,Opihi School Refurbishment,This project is a refurbishment at Opihi School.,"",Under Construction,Construct only,Canterbury,Education,< 5 Million,"","","","","","",2019-Q1,2020-Q3,https://www.education.govt.nz/school/property/,""
67,IP000095,2019-11-07T00:00:00,Ministry of Education,Oranga School New Build,This project is a new build at Oranga School.,"",In Procurement,Construct only,Auckland,Education,< 5 Million,"","","","","","",2020-Q1,2021-Q1,https://www.education.govt.nz/school/property/,""
68,IP000096,2019-11-07T00:00:00,Ministry of Education,Oteha Valley School New Build,This project is a new build at Oteha Valley School.,"",In Procurement,Construct only,Auckland,Education,5 - 25 Million,"","","","","","",2020-Q3,2022-Q1,https://www.education.govt.nz/school/property/,""
69,IP000097,2019-11-07T00:00:00,Ministry of Education,Owairaka District School New Build,This project is a new build at Owairaka District School.,"",In Procurement,Construct only,Auckland,Education,< 5 Million,"","","","","","",2020-Q3,2021-Q3,https://www.education.govt.nz/school/property/,""
70,IP000098,2019-11-07T00:00:00,Ministry of Education,Owairoa Primary School Refurbishment,This project is a refurbishment at Owairoa School.,"",In Procurement,Construct only,Auckland,Education,5 - 25 Million,"","","","","","",2020-Q2,2021-Q4,https://www.education.govt.nz/school/property/,""
71,IP000099,2019-11-07T00:00:00,Ministry of Education,Pokeno School New Build,This project is a new build at Pokeno School.,"",In Procurement,Construct only,Auckland,Education,5 - 25 Million,"","","","","","",2020-Q2,2021-Q3,https://www.education.govt.nz/school/property/,""
72,IP000100,2019-11-07T00:00:00,Ministry of Education,Port Ahuriri School Refurbishment,This project is a refurbishment at Port Ahuriri School.,"",Under Construction,Construct only,Hawke's Bay,Education,< 5 Million,"","","","","","",2019-Q3,2021-Q1,https://www.education.govt.nz/school/property/,""
73,IP000101,2019-11-07T00:00:00,Ministry of Education,Prebbleton School New Build,This project is a new build at Prebbleton School.,"",Under Construction,Construct only,Canterbury,Education,< 5 Million,"","","","","","",2019-Q1,2020-Q2,https://www.education.govt.nz/school/property/,""
74,IP000102,2019-11-07T00:00:00,Ministry of Education,Rangitoto College Remediation,This project is for a remediation at Rangitoto College.,"",In Procurement,Construct only,Auckland,Education,< 5 Million,"","","","","","",2020-Q3,2021-Q4,https://www.education.govt.nz/school/property/,""
75,IP000103,2019-11-07T00:00:00,Ministry of Education,Richmond Road School Refurbishment,This project is a refurbishment at Richmond Road School.,"",Under Construction,Construct only,Auckland,Education,< 5 Million,"","","","","","",2019-Q1,2020-Q1,https://www.education.govt.nz/school/property/,""
76,IP000104,2019-11-07T00:00:00,Ministry of Education,Ridgway School Refurbishment,This project is a refurbishment at Ridgeway School.,"",In Procurement,Construct only,Wellington,Education,5 - 25 Million,"","","","","","",2020-Q3,2021-Q3,https://www.education.govt.nz/school/property/,""
77,IP000105,2019-11-07T00:00:00,Ministry of Education,Rowandale School New Build,This project is a new build at Rowandale School.,"",In Procurement,Construct only,Auckland,Education,< 5 Million,"","","","","","",2020-Q2,2021-Q3,https://www.education.govt.nz/school/property/,""
78,IP000106,2019-11-07T00:00:00,Ministry of Education,Taihape Area School Refurbishment,This project is a refurbishment at Taihape Area School.,"",Under Construction,Construct only,Manawatu - Whanganui,Education,5 - 25 Million,"","","","","","",2019-Q1,2021-Q3,https://www.education.govt.nz/school/property/,""
79,IP000107,2019-11-07T00:00:00,Ministry of Education,Te Puke Primary School New Build,This project is a new build at Te Puke Primary School.,"",Under Construction,Construct only,Bay of Plenty,Education,< 5 Million,"","","","","","",2019-Q1,2020-Q1,https://www.education.govt.nz/school/property/,""
80,IP000108,2019-11-07T00:00:00,Ministry of Education,Te Wharekura O Manurewa New Build,This project is a new build at Te Wharekura O Manurewa.,"",In Procurement,Construct only,Auckland,Education,5 - 25 Million,"","","","","","",2020-Q4,2021-Q4,https://www.education.govt.nz/school/property/,""
81,IP000109,2019-11-07T00:00:00,Ministry of Education,Te Kura Kaupapa Maori o Te Kotuku Refurbishment,This project is a refurbishment at Te Kura Kaupapa Maori o Te Kotuku.,"",In Procurement,Construct only,Auckland,Education,< 5 Million,"","","","","","",2020-Q2,2021-Q2,https://www.education.govt.nz/school/property/,""
82,IP000110,2019-11-07T00:00:00,Ministry of Education,Tolaga Bay Area School Refurbishment,This project is a refurbishment at Tolaga Bay Area School.,"",Under Construction,Construct only,Gisborne,Education,5 - 25 Million,"","","","","","",2019-Q2,2021-Q1,https://www.education.govt.nz/school/property/,""
83,IP000111,2019-11-07T00:00:00,Ministry of Education,Torbay School New Build,This project is a new build at Torbay School.,"",In Procurement,Construct only,Auckland,Education,< 5 Million,"","","","","","",2020-Q1,2021-Q1,https://www.education.govt.nz/school/property/,""
84,IP000112,2019-11-07T00:00:00,Ministry of Education,Tauranga Girls' College Refurbishment,This project is a refurbishment at Tauranga Girls' College.,"",In Procurement,Construct only,Bay of Plenty,Education,5 - 25 Million,"","","","","","",2020-Q3,2022-Q1,https://www.education.govt.nz/school/property/,""
85,IP000113,2019-11-07T00:00:00,Ministry of Education,Waimea College New Build,This project is a new build at Waimea College.,"",Under Construction,Construct only,Tasman,Education,< 5 Million,"","","","","","",2019-Q1,2020-Q2,https://www.education.govt.nz/school/property/,""
